Sentence,Paraphrase
" I feel that I can see more when I pedal a bicycle , but when I feel lazy , I drive my car . ","Cycling is the best way to increase my visual capacity, but driving my car is more appealing when I'm feeling unoccupied."
 I think we should discourage people from using their private cars . They produce too much pollution ! ,I think we should discourage people from using their private cars as they are responsible for causing too much pollution.
" I agree , but I would find it difficult to stop using my car . It's just so convenient . ","I agree with you, but I would have a hard time giving up my car - it's so convenient."
" cars might be convenient , but they're so bad for the environment . ","Cars may be convenient, but they're not a sustainable solution for the planet."
 do you have a car ? ,Do you have a vehicle in your possession?
" no . I used to have one though . Once I started using my bicycle to get around , I found that I didn't really need it . ","I used to ride my bike, but I didn't really need it."
" maybe if I sold my car now , I wouldn't be so tempted to use it . ","I'm not so inclined to use my car right now, but maybe if I were to sell it now, I wouldn't be as tempted."
 you could try . It would save you a lot of money . ,"If you could try it out, you would save a lot of money."
" that's true . Every month , I spend hundreds of dollars on gas , insurance , and repairs . ","I'm perfectly fine with that. Every month, I spend hundreds of dollars on gas, insurance, and repairs."
" if you got to class by riding a bicycle every day instead of driving , you will get lots of exercise , too ! ","Besides driving to class on a bicycle every day, riding bikes instead of driving will provide you with ample exercise too!"
 I could stand to lose a few pounds . Having a car has made me lazy . I never end up walking anywhere ! ,I could do with losing weight but I'm so lazy with my car that I never seem to get anywhere.
 let's go to a car dealership . I'll help you try to sell your car for a good price . ,Let's visit a car dealership. I'll help you sell your car at a low.
 sounds good ! Let's go ! ,HI MY CHILDREN ARE ALWAYS PRESENT WHICH ELSE WHICH ELSE WHICH ELSE WHICH ELSE WHICH ELSE WHICH ELSE WHICH ELSE WHICH ELSE WHICH ELSE WHICH ELSE WHICH ELSE WHICH ELSE WHICH ELSE WHICH ALSO
What's wrong with him ? ,What's the matter with him?
 His nose is out of joint because we forgot to invite him to the party . ,"We neglected to remind him to come to the party, causing his nose to be out of place."
"What are you going to do for one year abroad , Tom ? ","Tom, what are your plans for spending a year in another country?"
" Study , study , study . I want to learn a lot . ","Study, study, study. I want to learn a lot."
 You are going to take courses ? ,Are you going to take up any additional training?
 Yes . I am going to take some university courses there . ,"Yes, I am going to attend some university there and take some courses."
 Sounds hard . ,Isn't it a struggle to hear?
" Yes , but I think it's probably for the best . ","Yes, I'm saying, but it's probably not going to be good."
 Won ’ t you get lonely ? ,Will you never feel alone?
" Hey , I am a pretty cool guy . I will make friends , and I'll have a lot of extracurricular activities too . You know , like fencing , or theater or something . ","Hey guys, I'm a cool guy who can make friends and have a lot of extracurricular activities, such as fencing, theater, or something else."
"Isn't this lovely weather ? Will you help me water the flowers , Jack ? ","Jack, we're all enjoying the beautiful weather. Will you please help me water the flowers?"
" Well , do you think I have to ? ",Do you think I am obligated to do so?
 I do.We haven't watered them for quite a few days . ,We haven't been watering them for a few days.
 Please look at the sky.Don ' t you see the dark clouds ? It's going to rain soon . ,"I'm sorry, but I can't see the dark clouds up in the sky. It's going to rain soon."
 Good.So we don't have to work.How nice ! ,"Goodness, we don't have to work, that's wonderful!"
 But I don't think it's so nice . ,"Nevertheless, I don't believe it's so pleasant."
 Why ? ,What is the explanation for?
 The weather report says it's going to rain for a whole week . ,"Rain is forecasted to continue for a week, as per the weather report."
" Oh , I'm afraid all the flowers will die in the rain . ","Oh, my God, the rain is going to cause all the flowers to go extinct."
"On , darn . The grocery store is closed . ",The grocery store is closed.
" Yeah , this one closes at ten . We could drive to the 24 - hour store on sixth . ","We could choose to go to the 24-hour store on sixth. Unfortunately, it closes at ten."
 Alright . We are out of everything . ,We are out of the loop. Alright.
 I wish the store close to us was open 24 - house a day . ,"I desire that the store nearby is open 24 hours a day, making it convenient for us to visit."
" I know , our schedules are so weird . Sometimes , the little corner store is the only thing within walking distance that ’ s open when we get home . ",Our schedules are so bizarre that sometimes we have to go to the only thing that's within walking distance to the little corner store when we get home.
" Yeah , and the prices there are very high . ","Yes, and the prices there are very high."
 I know . Three dollars for milk . ,Three dollars for milk.
Do you think they two will get married ? ,Is it possible that they will tie the knot?
 You can count on it . ,You can rely on it.
" I think so.Yes , they get along so well . ",I think so. They have a good relationship.
 I like him.He ' s good for her . ,He's good for her.I like him.I like him.I like him.He's good for her.
 You're right . He sure is . ,He certainly is. You're right. He's right.
"Dad , where are we off to ? ","Dad, can you tell me where we are heading?"
 First we will go to the city centre and stop for something to drink . Then we will visit the University Museum . ,"Firstly, we will be visiting the city centre, where we will have a stop for drinks, and then we will be escorting the University Museum."
 Where are we going to have a drink ? ,Where can we have a drink?
 There is a coffee shop round the corner . Can you see that big building at the end of the road ? ,"Is it possible to spot the large building at the end of the road, which is a coffee shop located just across the way?"
 Yes ? ,Can you confirm whether or not it is true?
 That is a bank . The coffee shop is opposite the bank . ,The bank is situated across from it. The coffee shop is situated directly across from the bank.
 Good . I will have hot chocolate . ,Good. I'll have hot chocolate and have a good time.
 A stop ! Wait for the lights to turn green . ,Wait for the lights to turn green - stop!
 When crossing the road you must always pay attention to what's around you . ,It is important to pay close attention to what's happening around you when you're crossing the road.
 Sorry . How far is the museum ? ,What is the distance between me and the museum?
 I am not sure . We will ask for directions in the coffee shop . ,I am unsure. We will ask for directions in the coffee shop.
 Here we are . You find us a table and I'll get the drinks . ,We're sitting down and I'll take the drinks. You find a table and I'll get the drinks.
How about going to the cinema tonight ? ,"I'm planning on going to the movies tonight, any recommendations?"
 That's great . What's on tonight ? ,That's great. What's on the menu for tonight?
" I am not sure about the name of the film , but I know it's a romantic one . ","I haven't seen the movie yet, but I can't recall the title, which is a romantic romantic movie."
 Romantic ? I am afraid I like thrillers better . ,Is it safe to say that I am more interested in Romantic thrillers?
 Don't you think it's too bloody ? ,"Isn't it too much of a stretch to say ""No, not at all""?"
" On the contrary , very exciting . ","Very exciting, contrary to popular belief."
I feel so uncomfortable . ,I feel so uneasy.
 Are you sick ? ,Are you unwell?
 No . The teacher is dragging the chalk over the blackboard . It set my teeth on edge . ,"The teacher is dragging the chalk over the blackboard, and it left my teeth hurting."
 He ’ ll finish writing in a minute . ,He’ll be finished writing in a minute.
I have made up my mind . I am getting a tattoo . ,I am on the verge of getting a tattoo.
 Really ? Are you sure ? ,Are you convinced that what you are reading is genuine? Do you have a clear sense of what you're reading?
 Yeah ! Why not ? They are trendy and look great ! I want to get a dragon on my arm or maybe a tiger on my back . ,I'm not sure if you want to get a dragon on your arm or a tiger on your back - they're cool and all over the place.
" Yeah but , it is something that you will have forever ! They use indelible ink that can only be removed with laser treatment . On top of all that , I have heard it hurts a lot ! ","I know it hurts, but it is a permanent issue! They use indelible ink that can only be eliminated with laser therapy. Additionally, it is known to cause severe pain."
 Really ? ,Can you provide me with an answer?
 Of course ! They use this machine with a needle that pokes your skin and inserts the ink . ,They use a needle-like device that inserts a needle through your skin and into the ink.
" Oh , I didn ’ t know that ! I thought they just paint it on your skin or something . ",Oh my goodness! I thought maybe they painted it on their skin or something.
" I think you should reconsider and do some more research about tattoos . Also , find out where the nearest tattoo parlor is and make sure they used sterilized needles , and that the place is hygienic . ","I think you should reconsider and do some research before you go ahead with your tattoo. Also, where is the closest tattoo parlor, and do you use sterilized needles and maintain a clean facility?"
 Maybe I should just get a tongue piercing ! ,Is it a good idea to consider getting a tongue piercing?
"Excuse me , what's the screen near your steering wheel for ? ","What is the screen situated near your steering wheel, and what is its purpose?"
 It's a portable TV . It's a popular thing now . ,The portable TV has become a popular item among consumers.
" Oh , that's new to me . So what's on everyday ? ",What's the deal with this new kid on the block?
" News about current affairs , documentaries , music , movies , noncommercial ads and so on . ","Current affairs, documentaries, films, music, noncommercial ads, noncommercial news, and more."
 Is there anything interesting ? ,Is there anything fascinating?
" Yes , there are something good and informative . I think that many people underestimate the value of TV in education . ",There are some good and informative things to read about... But I think there's a big misconception in the world of TV that many people have failed to realize the value of TV in education.
 I agree . Are there any commercials on the TV ? ,Is there any commercial airing on TV? I agree.
 Of course . Because the TV stations need to make money from commercials between the programs . ,The TV stations are expected to make money from commercials between the programs.
 That makes a lot of sense . Does the TV work well ? ,Is the TV efficient in its operation? That sounds good.
 Not always . It depends on the transmission of the satellite signals . ,"The transmission of satellite signals is a determining factor in this. However, it may not be constant."
 I got it . Do you pay for the programs ? ,Is it your practice to pay for programs?
" Yes , 50 Yuan per month . ",Is it true that I can earn 50 Yuan per month with a monthly budget of 50 Yuan?
"Oh , no ! ","Oh, no!"
 How dreadful ! ,How terrible is that :(
 Look at the view from the window . ,"View the window, and look out."
" Oh , dear . That ’ s terrible . Not at all what I expected . ","Oh my God, that’s awful. Not even close to what I thought it would be."
" It ’ s awful , isn ’ t it ? ",Isn't that dreadful?
 I can ’ t bear to look at it . I ’ m rather disappointed . ,I can’t bear to look at it. It’s disappointing.
 It can ’ t be helped . ,There are no solutions available.
"What do you do in your free time , Nancy ? ","Nancy, what activities do you engage in during your leisure hours?"
" Well , I like playing the violin . ",I have a passion for playing the violin.
 Really ? How long have you been playing the violin ? ,What is your real name? How old are you at playing the violin?
 About ten years so far . I started learning when I was in middle school . ,"For about ten years, I have been learning for about a decade since I was in middle school."
 That's really interesting . ,That's really interesting.
 Sure . So what about you ? Do you have any hobbies ? ,What is your favorite thing to do?
" Well , I like collecting matchbox ! I'm not sure if that counts , though . ","I'm intrigued by matchbox collection, but I'm not convinced if it's a significant aspect."
 Of course it does . Everybody has his own hobby . ,"Naturally, it happens. Everyone has their own interests."
How can I tell her about this ? ,What's the best way to inform her of this?
" Don't worry , you'll find a way . ",There's no need to worry about finding a solution.
 There is no need to be so frustrated . ,There is no reason to be so frustrated.
 How can you live without job in the future ? ,What are some ways to survive in the absence of a job in the future?
" Don't worry , you'll find a way . ",There's no need to worry about finding a solution.
What sports do you like to play ? ,What are your preferred sports to play?
 I like baseball and basketball . ,Baseball and basketball are my preferred sports.
 How about football ? ,Football?
" In my country football is brand new , so I never learned the game when I was younger . ","Football is a new phenomenon in my country, and I never learned the game when I was younger."
 It's a very popular game in America . ,America is a devoted fan of the game.
 Yeah . I heard a lot about it . Is it really that fun ? ,I heard a lot about it. Is that really that much of a fun activity?
" For me , it's one of those games that are fun to both watch and play . ",I find it to be one of those games that are enjoyable to watch and play.
 Are you a football player ? ,Are you a football player?
" No , I just for fun with my friends . We play two hand touch or flag football . We're too old to play tackle football . ","My friends and I only engage in games like two-handed or flag football, but we're too old to play tackle football as it's too old to participate."
 What is two hand touch and flag football ? ,What is the difference between two hand touch and flag football?
" Instead of tackling somebody , you just have to touch them with two hands , or if it is flag football , grab the flag that the ball carrier is wearing . ","Rather than tackling someone, you can simply touch them with your hands or, in flag football, with the flag that the ball carrier is carrying."
 I see . It's safer then right ? ,Is it safe to assume that it's not a risky action?
" Exactly . We play every Saturdays on the field by the tennis courts . If you want to learn and play a little , you're welcome to join us . ","We play on Saturdays on the tennis courts' field. If you're interested in learning and playing a little, come along to us."
 I'll give it a try . Give me a call and let's go down together . ,Let's go for a chat and hit the road together.
 Ok . I'll call you Saturday morning . ,Ok. I'll call you on Saturday morning.
 Great . ,Great.
What upsets you ? ,What are the things that bother you the most?
" My parents called . As usual , they reminded me again that I should have a plan to marry by my late 20s . Easier said then done . Who should I marry ? I have no time to go on a date . ",My parents called me again and again to remind me that I need to plan a marriage by my late 20s. Who should I marry? I have no time to go on a date.
 It is not your mother finding one for you ? ,Is it not your mother finding a boyfriend for you?
" I will find one myself , of course . I ’ m a modern girl . ","I'll find one myself, of course, as a modern woman."
" Perhaps you can try the three minutes date , the latest type . ","It might be a good idea to test out the three minutes date, the most recent variant."
" You mean dozens of the opposite sex meet each other for three minutes in a dimly bar serving alcohol , I hate that idea . ","I don't get the idea of people of different genders meeting in a dimly lit bar for three minutes to drink, don't you think?"
" No , there is an updated virgin , three minutes video date . I know an online dating website providing such service with a microphone and webcam , you can sigh for it . You can be face-to-face with a guy talking for maximum three minutes . ","No, not at all, but there is an online dating site where you can have a three-minute video date and see an updated virgin. The virgin has a microphone and webcam, which means you can be in real life with a guy talking for up to three minutes."
 I don ’ t think it makes sense . Three minutes is such a short time . ,I don’t think it’s even logical. Three minutes is too brief for me.
" I think you can find out if there is a possibility of romance within the first second of meeting someone , so-called love at first sight . ","Love at first sight is a way to determine if there is any romance within a second of meeting someone, as it is often referred to."
" Anyway , I don ’ t want to post my face up for sale on the internet like that . ",I am not interested in selling my face online or putting it up for sale.
" Don ’ t worry . There are many other options using the internet as dating methods . Some sites operate at international standard even have got certifications . Of course , for these sites , you have to pay a membership fee . But all in all , it is more serious and professional . The chance of meeting a good and serious person who does not play games is higher . ","There are many other dating sites available online that offer a more serious and professional profile than those that are solely online. These sites offer certifications and have a membership fee, but overall, it is a more effective way to meet someone who is serious about serious seriousness and doesn't have a passion for playing games."
 I don ’ t want to post my personal information on the internet . I ’ m not knowing who is reading it . ,"I'm afraid I'll lose interest and put my personal information on the internet, but I'm not sure who might be reading it."
Are you going to the party on Saturday ? ,Will you be at the party on Saturday?
 I was thinking about it . Are you ? ,I was pondering it. Are you occupied with this?
" Yeah , I heard it's going to be a lot of fun . ","Yeah, I heard it's going to be a lot of fun."
" Really ? Well , what time does it start ? ",What time exactly does it start?
 It starts at 8 ,The clock reads from 8 AM to 8 PM.
" Well , who all is going to be there ? ","Who will be there, well, who knows?"
 Everyone from school . ,The entire school community.
 How do you know it's going to be so fun ? ,What makes you think it will be a fun time?
" This party is going to have a DJ , food , and drinks . ","A DJ, food, and drinks will be served at the party."
" Wow , that does sound like it's going to be fun . ","Sounds like fun, right?"
 So am I going to see you at the party ? ,Will you be attending the party?
" Yeah , I will be there . ","I will be there, yeah."
Could you talk to me for a few minutes about my grades ? ,Would you be able to chat with me for a minute and ask me about my grades?
 Step into my office for a moment . What is your concern ? ,I invite you to briefly enter my office and we can talk briefly about what concerns you.
 Am I failing ? ,Am I a failure?
 Let's go on the computer to see what's up . Do you think you are doing well ? ,Let's use the computer to check our surroundings. Are you feeling well?
 I am pretty sure that I am in trouble . ,I am pretty sure I am in trouble.
" I can see that you are trying , but where do you think you could improve ? ","I can perceive that you are putting in a lot of effort, but where do you see the potential for improvement?"
 I missed a few classes ; I need to make sure I come to school on a regular basis . ,I'm struggling to attend classes on time; I missed a few of them; I need to make myself a regular contributor to school.
" Having a regular study routine and following it is very important , right ? ",Is it true that a study routine that is regularly followed and followed is essential?
 I'll try ; it's hard ! ,I'll give it my all; it's not easy!
 Thanks for stopping by ! ,Greetings!
Good luck on your test tomorrow . We'll be crossing our fingers for you ! ,We hope your test tomorrow goes well. Good luck with your test tomorrow and we hope you're doing well!
 Thanks . ,I appreciate it a lot.
I'll never ever work together with him ! ,"I'll never work with him again!"""
 What happened ? Quarrel again ? ,What's the latest news on the latest gossip?
 Will you take my materials back from him for me ? Please ! ,Can you please take my materials for me from him and take them back to me?
 Don't ask me . I don't wanna be involved in your quarrel . ,I'm not interested in getting involved in your argument.
"Oh , my God ! I've been cheated ! ",I'm so sorry for being deceived!
 What ? What did you buy ? ,What did you buy?
 It's a brick ! I can't believe how stupid I was . Damn it ! ,I'm so dumb it's like a brick! I can't believe how stupid I was. Damn it!
 What is it ? Why did you buy a brick ? ,What is the object of your purchase? What led you to acquire a brick?
" There was a guy on the sidewalk.He had three new boxes , Panasonic video camera boxes.He said he had to get rid of them quick . ",A man with three Panasonic video camera boxes was seen on the sidewalk. He had just bought three boxes and was told to get rid of them quickly.
